provincia,jan-11,jan-12,jan-13,jan-14,jan-15,jan-16,jan-17,jan-19,jan-20,jan-21,jan-22,jan-23,jan-24,jan-25,jan-26,jan-27,jan-28,jan-29,jan-30,jan-31,fev-01,fev-02,fev-03,fev-04,fev-05,fev-06,fev-07,fev-08,fev-09,fev-10,fev-11,fev-12,fev-13
Anhui,0,0,0,0,0,0,0,0,0,0,1,15,39,60,70,106,152,200,237,297,340,408,480,530,591,665,733,779,830,860,889,910,934
Beijing,0,0,0,0,0,0,0,0,5,10,14,26,36,51,68,80,91,114,132,156,183,212,228,253,274,297,315,326,337,342,352,366,366
Chongqing,0,0,0,0,0,0,0,0,0,5,9,27,57,75,110,132,147,165,206,238,262,300,337,366,389,411,426,446,468,486,505,518,529
Fujian,0,0,0,0,0,0,0,0,0,0,1,5,10,18,35,73,82,101,120,144,159,179,194,205,215,224,239,250,261,267,272,279,281
Gansu,0,0,0,0,0,0,0,0,0,0,0,2,4,7,14,19,24,26,29,35,40,51,55,57,62,67,71,79,83,86,86,87,90
Guangdong,0,0,0,0,0,0,0,1,14,26,32,53,78,98,146,188,241,311,393,520,604,683,797,870,944,1018,1075,1120,1151,1177,1219,1241,1261
Guangxi,0,0,0,0,0,0,0,0,0,0,2,13,23,33,46,51,58,78,87,100,111,127,139,150,168,172,183,195,210,215,222,222,226
Guizhou,0,0,0,0,0,0,0,0,0,0,1,3,4,5,7,9,9,12,15,29,38,46,56,64,69,77,89,96,109,118,131,135,140
Hainan,0,0,0,0,0,0,0,0,0,4,5,8,17,22,31,40,43,46,49,57,63,70,79,89,100,114,124,128,136,142,145,157,158
Hebei,0,0,0,0,0,0,0,0,0,0,1,2,8,13,18,33,48,65,82,96,104,113,126,135,157,171,195,206,218,239,251,265,283
Heilongjiang,0,0,0,0,0,0,0,0,0,0,1,4,9,15,21,30,37,43,59,80,95,118,155,190,227,277,295,307,331,360,378,395,418
Henan,0,0,0,0,0,0,0,0,0,1,5,9,32,83,128,168,206,278,352,422,493,566,675,764,851,914,981,1033,1073,1105,1135,1169,1184
Hong Kong,0,0,0,0,0,0,0,0,0,0,0,2,5,5,8,8,8,10,10,12,14,15,15,15,18,24,26,26,36,42,49,50,53
Hubei,41,41,41,41,41,45,62,121,270,375,444,549,729,1052,1423,2714,3554,4586,5806,7153,9074,11177,13522,16678,19665,22112,24953,27100,29631,31728,33366,48206,51986
Hunan,0,0,0,0,0,0,0,0,0,1,4,24,43,69,100,143,221,277,332,389,463,521,593,661,711,772,803,838,879,912,946,968,988
Inner Mongolia,0,0,0,0,0,0,0,0,0,0,0,1,2,7,11,13,16,18,20,23,27,34,35,42,46,50,52,54,58,58,60,61,65
Jiangsu,0,0,0,0,0,0,0,0,0,0,1,9,18,31,47,70,99,129,168,202,236,271,308,341,373,408,439,468,492,515,543,570,593
Jiangxi,0,0,0,0,0,0,0,0,0,2,3,7,18,36,48,72,109,162,240,286,333,391,476,548,600,661,698,740,771,804,844,872,900
Jilin,0,0,0,0,0,0,0,0,0,0,1,3,4,4,6,8,9,14,14,17,23,30,42,54,59,65,69,78,80,81,83,84,86
Liaoning,0,0,0,0,0,0,0,0,0,0,2,4,12,19,22,30,36,39,45,60,64,70,74,81,89,94,99,105,107,108,116,116,117
Macau,0,0,0,0,0,0,0,0,0,0,1,2,2,2,5,7,7,7,7,7,7,8,8,10,10,10,10,10,10,10,10,10,10
Ningxia,0,0,0,0,0,0,0,0,0,0,1,2,3,4,7,11,12,17,21,26,28,31,34,34,40,43,45,45,49,53,58,64,67
Qinghai,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,6,6,8,9,9,13,15,17,18,18,18,18,18,18,18,18,18
Shaanxi,0,0,0,0,0,0,0,0,0,0,0,3,5,15,35,35,46,63,87,101,116,128,142,165,173,184,195,208,213,219,225,229,230
Shandong,0,0,0,0,0,0,0,0,0,1,6,15,21,39,63,87,121,145,178,202,225,246,270,298,343,379,407,435,459,486,497,506,519
Shanghai,0,0,0,0,0,0,0,0,1,9,16,20,33,40,53,66,80,96,128,153,177,193,208,233,254,269,281,292,295,302,306,313,318
Shanxi,0,0,0,0,0,0,0,0,0,0,1,1,6,9,13,20,27,35,39,47,56,66,74,81,90,96,104,115,119,122,124,126,126
Sichuan,0,0,0,0,0,0,0,0,0,2,5,15,28,44,69,90,108,142,177,207,231,254,282,301,321,344,363,386,405,417,436,451,463
Taiwan,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,5,8,8,9,10,10,10,10,11,11,16,16,17,18,18,18,18,18
Tianjin,0,0,0,0,0,0,0,0,0,2,4,5,8,10,14,22,24,27,31,32,41,48,60,67,69,79,88,90,94,102,107,113,119
Tibet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Xinjiang,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,10,13,14,17,18,21,24,29,32,36,39,42,45,49,55,59,63,65
Yunnan,0,0,0,0,0,0,0,0,0,1,0,2,5,11,19,26,44,70,76,91,99,109,117,122,128,135,138,140,141,149,154,155,162
Zhejiang,0,0,0,0,0,0,0,0,0,5,27,43,62,104,128,173,296,428,537,599,661,724,829,895,954,1006,1048,1075,1092,1117,1131,1145,1155
